what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1390740107403
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1390740107430
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1390740107485
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1390740107539
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1390740107560
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1390740107584
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1390740107610
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1390740107610
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1390740107641
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1390740107658
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1390740107716
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1390740107753
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1390740107790
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1390740107839
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1390740107861
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1390740107903
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1390740107916
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1390740107916
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1390740107938
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1390740107952
os,sysinfo,,,"win32",1390740107957
arch,sysinfo,,,"x86_64",1390740107957
ws,sysinfo,,,"win32",1390740107957
locale,sysinfo,,,"en_US",1390740107957
processors,sysinfo,,,"6",1390740107957
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1390740107957
java.runtime.version,sysinfo,,,"1.7.0_10-b18",1390740107957
java.specification.name,sysinfo,,,"Java Platform API Specification",1390740107957
java.specification.vendor,sysinfo,,,"Oracle Corporation",1390740107957
java.specification.version,sysinfo,,,"1.7",1390740107957
